Modelo,Fold,F1-Score,IoU
DeepLabV3+ MobileViT (Propuesta),1,0.8865167498588562,0.7961653470993042
DeepLabV3+ MobileViT (Propuesta),2,0.8845221400260925,0.792953610420227
DeepLabV3+ MobileViT (Propuesta),3,0.8895493149757385,0.8010706901550293
DeepLabV3+ MobileViT (Propuesta),4,0.8765481114387512,0.780227541923523
DeepLabV3+ MobileViT (Propuesta),5,0.8899062871932983,0.801649808883667
U-Net (Baseline),1,0.8556221723556519,0.7476746439933777
U-Net (Baseline),2,0.8607481122016907,0.7555381655693054
U-Net (Baseline),3,0.8671852946281433,0.7655138373374939
U-Net (Baseline),4,0.84206223487854,0.7272087335586548
U-Net (Baseline),5,0.8573216199874878,0.7502738237380981
